orderNo,orderDate,warehouseCode,deliveryCode,deliveryName,sumWeight
001,20260920,95001200,10000010,"Fortis Hiranandani Hospital (Emergency)",4500
002,20260920,95001200,10000020,"Apollo Hospitals Navi Mumbai",3500
003,20260920,95001200,10000030,"MGM Hospital & Research Centre",1200
004,20260920,95001200,10000040,"Dhirubhai Ambani Life Science Centre",2400
101,20260920,95001200,10000050,"Tata ACTREC Cancer Research Centre",6500
102,20260920,95001200,10000060,"Terna Speciality Hospital & Research",1800
101a,20260920,95001200,10000050,"Tata ACTREC Cancer Research Centre",2500
104,20260920,95001200,10000070,"Seawoods Advanced Diagnostics Institute",1500
105,20260920,95001200,10000080,"Motherhood Hospital Kharghar",2200
105a,20260920,95001200,10000080,"Motherhood Hospital Kharghar",1300
105b,20260920,95001200,10000090,"Lifeline Multispeciality Hospital",1790
101b,20260920,95001200,10000020,"Apollo Hospitals Navi Mumbai",2800
107,20260920,95001200,10000100,"Panvel Advanced Trauma Care Centre",4000
107a,20260920,95001200,10000100,"Panvel Advanced Trauma Care Centre",12000
201,20260920,95001200,10000110,"Indravati Hospital & Research Centre",3200
202,20260920,95001200,10000120,"Surya Diagnostic & Healthcare Clinic",1400
203,20260920,95001200,10000130,"Millennium Care Diagnostic Hub",950
